ID,Visits,SiteType,Rank,StartTime,EndTime,TimeInterval,ObamaMentions
n41,1623,Media,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n42,879,Media,26,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n43,1239,Media,33,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n44,31457,Media,70,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n46,2888,Media,42,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n47,1688,Politics,37,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n48,1576,Politics,43,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n49,147,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n51,296,Politics,11,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n52,10748,Media,52,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n53,1047,Media,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n54,14050,Media,49,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n55,121,Politics,4,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n56,851,Politics,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n57,2846,Media,26,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n58,2992,Media,32,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n59,1366,Politics,33,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n60,2177,Politics,33,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n61,936,Politics,27,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n62,2830,Politics,38,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n63,5309,Politics,43,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n64,385,Politics,17,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n65,4216,Politics,40,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n66,1226,Politics,27,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n67,1732,Politics,25,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n68,2317,Politics,40,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n69,401,Media,13,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n70,665,Politics,27,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n71,204,Politics,9,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n72,1961,Media,38,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n73,390,Media,11,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n74,118,Politics,5,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n75,1900,Media,36,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n76,258,Media,11,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n77,635,Politics,22,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n78,83,Politics,1,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n79,2874,Politics,34,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n80,73,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n81,374,Politics,12,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n82,498,Politics,10,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n83,3630,Politics,41,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n84,1282,Politics,31,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n85,3828,Politics,49,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n86,1746,Politics,37,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n87,410,Media,18,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n88,702,Media,20,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n89,3476,Politics,42,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n90,2584,Media,39,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n91,588,Politics,18,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n92,22984,Media,59,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n93,3662,Politics,44,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n94,7112,Media,48,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n95,207,Media,6,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n96,5612,Media,40,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n97,1674,Media,36,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n98,55,Media,1,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n99,2389,Media,39,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n100,509,Media,19,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n101,563,Media,12,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n102,973,Politics,30,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n103,3421,Media,39,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n104,3337,Politics,41,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n105,1138,Politics,32,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n106,1004,Politics,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n107,3114,Politics,42,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n108,1103,Politics,24,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n109,1090,Politics,33,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n110,3035,Media,42,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n111,685,Politics,25,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n112,406,Politics,15,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n113,203,Media,6,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n114,641,Politics,21,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n115,70,Politics,1,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n116,754,Politics,19,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n117,1768,Politics,35,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n118,464,Politics,22,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n119,950,Politics,21,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n120,869,Politics,30,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n121,3307,Politics,46,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n122,886,Politics,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n123,1617,Politics,38,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n124,960,Media,27,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n125,948,Media,28,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n126,34,Politics,1,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n127,1268,Media,32,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n128,452,Media,13,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n129,257,Politics,8,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n130,2831,Media,36,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n131,666,Media,20,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n132,930,Media,24,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n133,11612,Media,52,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n134,334,Politics,8,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n135,241,Media,10,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n136,879,Media,24,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n137,1228,Media,36,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n138,884,Politics,26,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n139,1962,Media,38,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n140,127,Politics,1,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n141,3027,Media,45,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n142,1938,Media,36,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n143,325,Politics,8,10,1200,"<[ 10, 1200 ]>","< [0, 580, 0); [ 580, 900, 100); [ 900, 1150, 0); [ 1150, 1200, 0)>"
n144,145,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n145,244,Politics,8,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n146,257,Politics,8,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n147,351,Politics,10,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n148,1652,Politics,40,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n149,208,Media,5,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n150,496,Politics,16,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n151,65,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n152,623,Media,23,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n153,4963,Media,50,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n154,695,Media,27,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n155,1004,Media,30,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 100)>"
n156,12240,Media,52,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n157,166,Media,4,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n158,603,Media,21,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n159,643,Media,19,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n160,144,Politics,1,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n161,295,Politics,7,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n162,509,Media,21,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n163,344,Media,15,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n164,144,Media,4,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n165,10325,Media,53,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n166,941,Politics,25,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n167,235,Politics,5,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n168,1388,Politics,27,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n169,165,Media,4,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n173,141,Politics,2,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n174,1305,Politics,28,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n175,306,Politics,9,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n176,652,Politics,20,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n177,1070,Politics,30,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
n178,1243,Politics,29,110,1200,"<[ 110, 1200 ]>","< [0, 700, 0); [ 700, 1000, 100); [ 1000, 1100, 0); [ 1100, 1200, 0)>"
